 82 CH1.txt[]
 35 CH2.txt[]
 53 CH3.txt[]
 93 CH4.txt[]
 120 CH5.txt[]
 85 CH6.txt[]
a 112 CH1.txt[]
a 93 CH2.txt[]
a 74 CH3.txt[]
a 111 CH4.txt[]
a 177 CH5.txt[]
a 140 CH6.txt[]
about 14 CH1.txt[]
about 11 CH2.txt[]
about 6 CH3.txt[]
about 13 CH4.txt[]
about 14 CH5.txt[]
about 15 CH6.txt[]
above 1 CH1.txt[]
above 2 CH5.txt[]
across 2 CH1.txt[]
across 2 CH3.txt[]
across 2 CH5.txt[]
across 1 CH6.txt[]
adalbert 1 CH5.txt[]
added 1 CH5.txt[]
added 3 CH6.txt[]
advice 1 CH5.txt[]
after 4 CH1.txt[]
after 4 CH2.txt[]
after 3 CH3.txt[]
after 3 CH4.txt[]
after 2 CH5.txt[]
after 7 CH6.txt[]
afternoon 1 CH1.txt[]
afternoon 1 CH3.txt[]
afternoon 1 CH5.txt[]
again 3 CH1.txt[]
again 5 CH2.txt[]
again 5 CH3.txt[]
again 4 CH4.txt[]
again 6 CH5.txt[]
again 11 CH6.txt[]
against 1 CH2.txt[]
against 2 CH4.txt[]
against 4 CH5.txt[]
age 1 CH1.txt[]
age 1 CH2.txt[]
age 1 CH4.txt[]
age 1 CH5.txt[]
ago 1 CH2.txt[]
ago 2 CH4.txt[]
ago 2 CH5.txt[]
ago 1 CH6.txt[]
agree 1 CH1.txt[]
agree 1 CH5.txt[]
ah 3 CH4.txt[]
ah 1 CH5.txt[]
air 3 CH1.txt[]
air 2 CH3.txt[]
air 1 CH4.txt[]
air 4 CH5.txt[]
air 2 CH6.txt[]
all 32 CH1.txt[]
all 24 CH2.txt[]
all 12 CH3.txt[]
all 21 CH4.txt[]
all 30 CH5.txt[]
all 43 CH6.txt[]
alley 3 CH5.txt[]
alley 4 CH6.txt[]
allowed 2 CH1.txt[]
allowed 1 CH2.txt[]
allowed 1 CH3.txt[]
allowed 1 CH4.txt[]
allowed 2 CH5.txt[]
almost 5 CH1.txt[]
almost 4 CH2.txt[]
almost 2 CH4.txt[]
almost 4 CH5.txt[]
almost 2 CH6.txt[]
alone 1 CH2.txt[]
alone 3 CH5.txt[]
alone 1 CH6.txt[]
aloud 1 CH5.txt[]
also 2 CH1.txt[]
also 2 CH3.txt[]
also 2 CH5.txt[]
also 1 CH6.txt[]
although 2 CH1.txt[]
although 1 CH3.txt[]
although 2 CH5.txt[]
although 1 CH6.txt[]
always 2 CH1.txt[]
always 2 CH2.txt[]
always 1 CH3.txt[]
always 2 CH4.txt[]
always 3 CH5.txt[]
always 1 CH6.txt[]
am 1 CH4.txt[]
am 1 CH5.txt[]
am 3 CH6.txt[]
amazement 1 CH3.txt[]
amazement 1 CH5.txt[]
an 7 CH1.txt[]
an 1 CH2.txt[]
an 6 CH3.txt[]
an 38 CH4.txt[]
an 31 CH5.txt[]
an 12 CH6.txt[]
and 102 CH1.txt[]
and 85 CH2.txt[]
and 112 CH3.txt[]
and 75 CH4.txt[]
and 158 CH5.txt[]
and 186 CH6.txt[]
animal 1 CH5.txt[]
another 3 CH1.txt[]
another 4 CH2.txt[]
another 1 CH3.txt[]
another 2 CH4.txt[]
another 7 CH5.txt[]
another 2 CH6.txt[]
answer 1 CH1.txt[]
answer 1 CH2.txt[]
answer 2 CH3.txt[]
answer 1 CH5.txt[]
any 5 CH1.txt[]
any 1 CH2.txt[]
any 1 CH3.txt[]
any 1 CH4.txt[]
any 3 CH5.txt[]
any 7 CH6.txt[]
anyone 2 CH1.txt[]
anyone 2 CH2.txt[]
anyone 2 CH4.txt[]
anyone 2 CH5.txt[]
anyone 3 CH6.txt[]
